CustomerID,Lookalikes
C0001,"[('C0072', 0.9995801239756656), ('C0190', 0.9995396754148373), ('C0069', 0.9992414536172233)]"
C0002,"[('C0029', 0.9999769937828287), ('C0010', 0.9999177738763096), ('C0111', 0.9961301024459819)]"
C0003,"[('C0178', 0.9999989970925096), ('C0052', 0.999791880110156), ('C0166', 0.9996205032237228)]"
C0004,"[('C0021', 0.9999907303388264), ('C0101', 0.9999163269540593), ('C0173', 0.9995595762227322)]"
C0005,"[('C0112', 0.9999775023325984), ('C0197', 0.9999550413378965), ('C0186', 0.9996988311929792)]"
C0006,"[('C0117', 0.999873668447618), ('C0168', 0.9979617911305342), ('C0187', 0.9963642506153775)]"
C0007,"[('C0120', 0.9999532375535115), ('C0050', 0.9990958497332864), ('C0115', 0.9988291289227257)]"
C0008,"[('C0113', 0.9911961983046282), ('C0124', 0.9824122021273818), ('C0065', 0.9794629051971273)]"
C0009,"[('C0077', 0.9999851375384464), ('C0083', 0.9997264144050755), ('C0062', 0.9976924430093821)]"
C0010,"[('C0029', 0.9999817548950191), ('C0002', 0.9999177738763096), ('C0111', 0.9959810992597672)]"
C0011,"[('C0064', 0.9997013882014664), ('C0137', 0.9994905572343078), ('C0191', 0.9982450129605144)]"
C0012,"[('C0124', 0.9976552297174862), ('C0100', 0.9974888114302514), ('C0113', 0.9968800383354927)]"
C0013,"[('C0143', 0.9999958016190141), ('C0099', 0.9976469285832568), ('C0145', 0.9974393998360376)]"
C0014,"[('C0151', 0.9999600543822388), ('C0097', 0.9998538526669166), ('C0060', 0.9997512176329124)]"
C0015,"[('C0063', 0.99979032502711), ('C0123', 0.9997467877620104), ('C0043', 0.99526749136661)]"
C0016,"[('C0183', 0.9999981730041191), ('C0107', 0.9998019517013405), ('C0149', 0.999148591693888)]"
C0017,"[('C0004', 0.9991800778888101), ('C0021', 0.9989964914283755), ('C0101', 0.9985727392182849)]"
C0018,"[('C0187', 0.9999185644588379), ('C0171', 0.9996373290235097), ('C0064', 0.9983841031565498)]"
C0019,"[('C0116', 0.9989201873400502), ('C0047', 0.9961034388968285), ('C0118', 0.9949956484123584)]"
C0020,"[('C0130', 0.9995444526367542), ('C0095', 0.9945298604744075), ('C0140', 0.9911734812068119)]"
